Crt.                 Node                 Father               Sibling             
1                    program              0                    0                   
2                    cmpdstmt             1                    0                   
3                    )                    1                    2                   
4                    listOfParameters     1                    3                   
5                    (                    1                    4                   
6                    id                   1                    5                   
7                    function             1                    6                   
8                    epsilon              4                    0                   
9                    }                    2                    0                   
10                   stmtlist             2                    9                   
11                   {                    2                    10                  
12                   stmtlistOp           10                   0                   
13                   stmt                 10                   12                  
14                   simplstmt            13                   0                   
15                   declarationStmt      14                   0                   
16                   ;                    15                   0                   
17                   parameter            15                   16                  
18                   id                   17                   0                   
19                   type                 17                   18                  
20                   typeOp               19                   0                   
21                   simpleType           19                   20                  
22                   int                  21                   0                   
23                   epsilon              20                   0                   
24                   stmtlist             12                   0                   
25                   stmtlistOp           24                   0                   
26                   stmt                 24                   25                  
27                   simplstmt            26                   0                   
28                   declarationStmt      27                   0                   
29                   ;                    28                   0                   
30                   parameter            28                   29                  
31                   id                   30                   0                   
32                   type                 30                   31                  
33                   typeOp               32                   0                   
34                   simpleType           32                   33                  
35                   int                  34                   0                   
36                   epsilon              33                   0                   
37                   stmtlist             25                   0                   
38                   stmtlistOp           37                   0                   
39                   stmt                 37                   38                  
40                   simplstmt            39                   0                   
41                   declarationStmt      40                   0                   
42                   ;                    41                   0                   
43                   parameter            41                   42                  
44                   id                   43                   0                   
45                   type                 43                   44                  
46                   typeOp               45                   0                   
47                   simpleType           45                   46                  
48                   int                  47                   0                   
49                   epsilon              46                   0                   
50                   stmtlist             38                   0                   
51                   stmtlistOp           50                   0                   
52                   stmt                 50                   51                  
53                   simplstmt            52                   0                   
54                   iostmt               53                   0                   
55                   readStmt             54                   0                   
56                   readOp               55                   0                   
57                   id                   55                   56                  
58                   (                    55                   57                  
59                   read                 55                   58                  
60                   ;                    56                   0                   
61                   )                    56                   60                  
62                   stmtlist             51                   0                   
63                   stmtlistOp           62                   0                   
64                   stmt                 62                   63                  
65                   simplstmt            64                   0                   
66                   iostmt               65                   0                   
67                   readStmt             66                   0                   
68                   readOp               67                   0                   
69                   id                   67                   68                  
70                   (                    67                   69                  
71                   read                 67                   70                  
72                   ;                    68                   0                   
73                   )                    68                   72                  
74                   stmtlist             63                   0                   
75                   stmtlistOp           74                   0                   
76                   stmt                 74                   75                  
77                   simplstmt            76                   0                   
78                   iostmt               77                   0                   
79                   readStmt             78                   0                   
80                   readOp               79                   0                   
81                   id                   79                   80                  
82                   (                    79                   81                  
83                   read                 79                   82                  
84                   ;                    80                   0                   
85                   )                    80                   84                  
86                   stmtlist             75                   0                   
87                   stmtlistOp           86                   0                   
88                   stmt                 86                   87                  
89                   simplstmt            88                   0                   
90                   declarationStmt      89                   0                   
91                   ;                    90                   0                   
92                   parameter            90                   91                  
93                   id                   92                   0                   
94                   type                 92                   93                  
95                   typeOp               94                   0                   
96                   simpleType           94                   95                  
97                   int                  96                   0                   
98                   epsilon              95                   0                   
99                   stmtlist             87                   0                   
100                  stmtlistOp           99                   0                   
101                  stmt                 99                   100                 
102                  simplstmt            101                  0                   
103                  assignstmt           102                  0                   
104                  ;                    103                  0                   
105                  expression           103                  104                 
